ts_code,name,start_date,end_date,ann_date,change_reason
301221.SZ,光庭信息,20211210,,,其他
688110.SH,东芯股份,20211210,,,其他
688192.SH,迪哲医药,20211210,,,其他
688192.SH,迪哲医药-U,20211210,,,其他
301186.SZ,超达装备,20211209,,,其他
301193.SZ,家联科技,20211209,,,其他
301166.SZ,优宁维,20211209,,,其他
688265.SH,南模生物,20211209,,,其他
301211.SZ,亨迪药业,20211209,,,其他
600188.SH,兖矿能源,20211209,,20211207,改名
301189.SZ,奥尼电子,20211209,,,其他
688248.SH,南网科技,20211209,,,其他
688032.SH,禾迈股份,20211208,,,其他
000408.SZ,藏格矿业,20211208,,20211208,改名
600877.SH,声光电科,20211208,,20211203,改名
301179.SZ,泽宇智能,20211208,,,其他
688206.SH,概伦电子,20211208,,,其他
301113.SZ,雅艺科技,20211208,,,其他
600215.SH,派斯林,20211207,,20211202,改名
688167.SH,炬光科技,20211207,,,其他
301126.SZ,达嘉维康,20211207,,,其他
301111.SZ,粤万年青,20211207,,,其他
301199.SZ,迈赫股份,20211207,,,其他
001234.SZ,泰慕士,20211207,,,其他
600927.SH,永安期货,20211207,,,其他
001227.SZ,兰州银行,20211207,,,其他
301100.SZ,风光股份,20211207,,,其他
688151.SH,华强科技,20211206,,,其他
301167.SZ,建研设计,20211206,,,其他
301213.SZ,观想科技,20211206,,,其他
688210.SH,统联精密,20211206,,,其他
301101.SZ,明月镜片,20211206,,,其他
301108.SZ,洁雅股份,20211203,,,其他
301177.SZ,迪阿股份,20211203,,,其他
301190.SZ,善水科技,20211203,,,其他
603071.SH,物产环能,20211203,,,其他
301138.SZ,华研精机,20211203,,,其他
301198.SZ,喜悦智行,20211202,,,其他
688246.SH,嘉和美康,20211202,,,其他
301211.SZ,亨迪药业,20211202,,,其他
688248.SH,南网科技,20211202,,,其他
301182.SZ,凯旺科技,20211202,,,其他
002210.SZ,飞马国际,20211202,,20211201,撤销*ST
688112.SH,鼎阳科技,20211201,,,其他
688230.SH,芯导科技,20211201,,,其他
603216.SH,梦天家居,20211201,,,其他
688235.SH,百济神州,20211201,,,其他
688032.SH,禾迈股份,20211201,,,其他
688110.SH,东芯股份,20211130,,,其他
001234.SZ,泰慕士,20211130,,,其他
