ts_code,name,area,fullname,enname,cnspell,market,list_date
000544.SZ,中原环保,河南,中原环保股份有限公司,"Central Plains Environment Protection Co.,Ltd",zyhb,主板,19931208
000545.SZ,金浦钛业,吉林,金浦钛业股份有限公司,"Gpro Titanium Industry Co.,Ltd",jpty,主板,19931215
000546.SZ,金圆股份,吉林,金圆环保股份有限公司,"Jinyuan Ep Co.,Ltd",jygf,主板,19931215
000547.SZ,航天发展,福建,航天工业发展股份有限公司,"Addsino Co.,Ltd.",htfz,主板,19931130
000548.SZ,湖南投资,湖南,湖南投资集团股份有限公司,"Hunan Investment Group Co.,Ltd.",hntz,主板,19931220
000550.SZ,江铃汽车,江西,江铃汽车股份有限公司,"Jiangling Motors Corporation, Ltd.",jlqc,主板,19931201
000551.SZ,创元科技,江苏,创元科技股份有限公司,"Create Technology & Science Co., Ltd.",cykj,主板,19940106
000552.SZ,靖远煤电,甘肃,甘肃靖远煤电股份有限公司,"Gansu Jingyuan Coal Industry and Electricity Power Co.,Ltd",jymd,主板,19940106
000553.SZ,安道麦A,湖北,安道麦股份有限公司,ADAMA Ltd.,adma,主板,19931203
000554.SZ,泰山石油,山东,中国石化山东泰山石油股份有限公司,"Sinopec Shandong Taishan Pectroleum Co.,Ltd.",tssy,主板,19931215
000555.SZ,神州信息,深圳,神州数码信息服务股份有限公司,Digital China Information Service Company Ltd.,szxx,主板,19940408
000557.SZ,西部创业,宁夏,宁夏西部创业实业股份有限公司,"Ningxia Western Venture Industrial Co., Ltd.",xbcy,主板,19940617
000558.SZ,莱茵体育,浙江,莱茵达体育发展股份有限公司,"Lander Sports Development Co.,Ltd.",lyty,主板,19940509
000559.SZ,万向钱潮,浙江,万向钱潮股份有限公司,"Wanxiang Qianchao Co.,Ltd.",wxqc,主板,19940110
000560.SZ,我爱我家,云南,我爱我家控股集团股份有限公司,"5I5J Holding Group Co., Ltd.",wawj,主板,19940202
000561.SZ,烽火电子,陕西,陕西烽火电子股份有限公司,"Shaanxi Fenghuo Electronics Co., Ltd.",fhdz,主板,19940509
000563.SZ,陕国投A,陕西,陕西省国际信托股份有限公司,"Shaanxi International Trust Co.,Ltd",sgta,主板,19940110
000564.SZ,*ST大集,陕西,供销大集集团股份有限公司,"Ccoop Group Co., Ltd",stdj,主板,19940110
